domain	canonical_variable	description	planned_role	wave_variable_pattern_or_formula	available_waves	available_wave_labels	notes
blood_pressure	SBP_L	좌측 팔 수축기혈압(mmHg)	primary_BP	A{wave:02d}_SBP_L	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Repeated
blood_pressure	DBP_L	좌측 팔 이완기혈압(mmHg)	primary_BP	A{wave:02d}_DBP_L	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Repeated
blood_pressure	SBP_R	우측 팔 수축기혈압(mmHg)	primary_BP	A{wave:02d}_SBP_R	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Repeated
blood_pressure	DBP_R	우측 팔 이완기혈압(mmHg)	primary_BP	A{wave:02d}_DBP_R	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Repeated
glycemia	GLU0_ORI	Fasting Glucose 원측정값(mg/dL)	primary_MetS+MBI	A{wave:02d}_GLU0_ORI	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Original assay values
glycemia	GLU0_TR	Fasting Glucose 공식 변환값(mg/dL)	harmonization	A{wave:02d}_GLU0_TR	1,6,7,8,9,10,11	Baseline (2001–2002);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Target scale ADVIA1650; waves 2–5 already ADVIA1650
glycemia	GLU0_HARM	Fasting Glucose harmonized	primary_candidate	coalesce(GLU0_TR, GLU0_ORI)	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Confirm nonmissing behavior in raw data
glycemia	HBA1C	HbA1c(%)	secondary	A{wave:02d}_HBA1C	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Repeated all waves
lipid	TRIGLY_ORI	Triglyceride 원측정값(mg/dL)	primary_MetS+MBI	A{wave:02d}_TRIGLY_ORI	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Log-transform for continuous MBI
lipid	TRIGLY_TR	Triglyceride 공식 변환값(mg/dL)	harmonization	A{wave:02d}_TRIGLY_TR	1,6,7,8,9,10,11	Baseline (2001–2002);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Target scale ADVIA1650
lipid	TRIGLY_HARM	Triglyceride harmonized	primary_candidate	coalesce(TRIGLY_TR, TRIGLY_ORI)	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Confirm raw distributions
lipid	HDL_ORI	HDL-Cholesterol 원측정값(mg/dL)	primary_MetS+MBI	A{wave:02d}_HDL_ORI	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Repeated all waves
lipid	HDL_TR	HDL-Cholesterol 공식 변환값(mg/dL)	harmonization	A{wave:02d}_HDL_TR	1,6,7,8,9,10,11	Baseline (2001–2002);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Target scale ADVIA1650
lipid	HDL_HARM	HDL-Cholesterol harmonized	primary_candidate	coalesce(HDL_TR, HDL_ORI)	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Confirm raw distributions
diagnosis	HTN	고혈압 진단 여부	clinical_support	A{wave:02d}_HTN	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	1=아니오, 2=예
diagnosis	DM	당뇨병 진단 여부	clinical_support	A{wave:02d}_DM	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	1=아니오, 2=예
diagnosis	LIP	고지혈증 진단 여부	clinical_support	A{wave:02d}_LIP	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	1=아니오, 2=예
medication	TREATD1	고혈압 현재 치료 여부	MetS_medication	A{wave:02d}_TREATD1	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Repeated all waves
medication	TREATD2	당뇨병 현재 치료 여부	MetS_medication	A{wave:02d}_TREATD2	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Repeated all waves
medication	TREATD9	고지혈증 현재 치료 여부	MetS_medication	A{wave:02d}_TREATD9	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Repeated all waves
medication	DRUGHT	혈압약 복용 여부	sensitivity	A{wave:02d}_DRUGHT	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Repeated; coding status differs ●/○ in early follow-up
medication	DRUGDM	경구용 당뇨약 복용 여부	sensitivity	A{wave:02d}_DRUGDM	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Repeated
medication	DRUGLP	고지혈증약 복용 여부	sensitivity	A{wave:02d}_DRUGLP	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Repeated
lifestyle	DRINK	음주 여부	covariate	A{wave:02d}_DRINK	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Repeated all waves
lifestyle	TOTALC	총 알코올 섭취량(g/day)	covariate	A{wave:02d}_TOTALC	1,2,3,4,5,6,7,8,9,10,11	Baseline (2001–2002);F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Derived/integrated across all waves; raw completeness to audit
physical_activity	MET	총 신체활동량(MET)	baseline_PA	A01_MET	1	Baseline (2001–2002)	Only baseline in integrated codebook
physical_activity	EXERCUR	현재 운동 여부	repeated_PA	A{wave:02d}_EXERCUR	2,3,4,5,6,7,8,9,10,11	F01 (2003–2004);F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Usable from first follow-up onward
physical_activity	EXER	땀이 날 정도의 규칙적 운동 여부	primary_repeated_PA_candidate	A{wave:02d}_EXER	3,4,5,6,7,8,9,10,11	F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Usable from second follow-up onward
physical_activity	EXERFQ	땀이 날 정도의 운동 빈도	primary_repeated_PA_candidate	A{wave:02d}_EXERFQ	3,4,5,6,7,8,9,10,11	F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	1=주1-2, 2=주3-4, 3=주5-6, 4=거의 매일
physical_activity	EXERDU	1회 평균 운동시간(분)	primary_repeated_PA_candidate	A{wave:02d}_EXERDU	3,4,5,6,7,8,9,10,11	F02 (2005–2006);F03 (2007–2008);F04 (2009–2010);F05 (2011–2012);F06 (2013–2014);F07 (2015–2016);F08 (2017–2018);F09 (2019–2020);F10 (2021–2022)	Can derive frequency-duration dose
sleep	SLEEP_NOT_IDENTIFIED	반복 수면 변수	not_available_yet	N/A			No dedicated sleep variable identified in integrated codebook term audit
